Marca de Tiempo, Uso de Memoria (%)
10:57:54,64.6
10:57:55,64.6
10:57:56,64.6
10:57:57,64.6
10:57:58,64.6
10:57:59,64.6
10:58:00,64.6
10:58:01,64.8
10:58:02,64.8
10:58:03,64.8
10:58:04,64.7
10:58:05,64.8
10:58:06,64.7
10:58:07,64.8
10:58:08,64.7
10:58:09,64.7
10:58:10,64.6
10:58:11,64.7
10:58:12,64.7
10:58:13,64.6
10:58:14,64.6
10:58:15,64.7
10:58:16,64.6
10:58:17,64.6
10:58:18,64.7
10:58:19,64.7
10:58:20,64.8
10:58:21,64.8
10:58:22,64.8
10:58:23,64.8
10:58:24,64.8
10:58:25,64.7
10:58:26,64.7
10:58:27,64.7
10:58:28,64.7
10:58:29,64.7
10:58:30,64.7
10:58:31,64.7
10:58:32,64.7
10:58:33,64.6
10:58:34,64.6
10:58:35,64.7
10:58:36,64.6
10:58:37,64.6
10:58:38,64.7
10:58:39,64.6
10:58:40,64.6
10:58:41,64.5
10:58:42,64.6
10:58:43,64.6
10:58:44,64.6
10:58:45,64.6
10:58:46,64.6
10:58:47,64.6
10:58:48,64.6
10:58:49,64.6
10:58:50,64.6
10:58:51,64.6
10:58:52,64.6
10:58:53,64.6
10:58:54,64.6
10:58:55,64.6
10:58:56,64.6
10:58:57,64.6
10:58:58,64.6
10:58:59,64.6
10:59:00,64.6
10:59:01,64.5
10:59:02,64.6
10:59:03,64.6
10:59:04,64.6
10:59:05,64.5
10:59:06,64.6
10:59:07,64.6
10:59:08,64.7
10:59:09,64.6
10:59:10,64.7
10:59:11,64.7
10:59:12,64.8
10:59:13,64.8
10:59:14,64.8
10:59:15,64.6
10:59:16,64.6
10:59:17,64.6
10:59:18,64.6
10:59:19,64.5
10:59:20,64.6
10:59:21,64.6
10:59:22,64.6
10:59:23,64.6
10:59:24,64.6
10:59:25,64.6
10:59:26,64.6
10:59:27,64.6
10:59:28,64.6
10:59:29,64.6
10:59:30,64.6
10:59:31,64.6
10:59:32,64.6
10:59:33,64.6
10:59:34,64.6
10:59:35,64.6
10:59:36,64.7
10:59:37,64.7
10:59:38,64.7
10:59:39,64.6
10:59:40,64.6
10:59:41,64.6
10:59:42,64.5
10:59:43,64.5
10:59:44,64.5
10:59:45,64.5
10:59:46,64.5
10:59:47,64.6
10:59:48,64.5
10:59:49,64.7
10:59:50,64.7
10:59:51,64.7
10:59:52,64.7
10:59:54,64.5
10:59:55,64.7
10:59:56,64.7
10:59:57,64.6
10:59:58,64.7
10:59:59,64.7
11:00:00,64.6
11:00:01,64.6
11:00:02,64.6
11:00:03,64.6
11:00:04,64.6
11:00:05,64.6
11:00:06,64.6
11:00:07,64.7
11:00:08,64.7
11:00:09,64.6
11:00:10,64.7
11:00:11,64.6
11:00:12,64.6
11:00:13,64.6
11:00:14,64.6
11:00:15,64.6
11:00:16,64.6
11:00:17,64.6
11:00:18,64.6
11:00:19,64.6
11:00:20,64.6
11:00:21,64.9
11:00:22,65.2
11:00:23,65.6
11:00:24,65.6
11:00:25,65.8
11:00:26,66.3
11:00:27,66.2
11:00:28,66.3
11:00:29,66.4
11:00:30,66.3
11:00:31,67.1
11:00:32,67.3
11:00:33,67.2
11:00:34,67.3
11:00:35,67.3
11:00:36,67.3
11:00:37,67.0
11:00:38,66.7
11:00:39,67.0
11:00:40,67.2
11:00:41,67.2
11:00:42,67.3
11:00:43,67.4
11:00:44,67.3
11:00:45,67.6
11:00:46,67.7
11:00:47,67.7
11:00:48,67.7
11:00:49,67.9
11:00:50,68.0
11:00:51,68.0
11:00:52,68.1
11:00:53,68.1
11:00:54,68.1
11:00:55,68.1
11:00:56,68.0
11:00:57,68.1
11:00:58,67.9
11:00:59,68.0
11:01:00,67.9
11:01:01,68.0
11:01:02,67.9
11:01:03,68.0
11:01:04,68.0
11:01:05,68.0
11:01:06,68.0
11:01:07,68.0
11:01:08,67.9
11:01:09,67.3
11:01:10,67.3
11:01:11,67.3
11:01:12,67.1
11:01:13,67.2
11:01:14,67.3
